onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
74.67	0	37335	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	83.64216190000298	83.44328920001863	1700493929.3053918	p	74.43679140001768	158.11172620003344	164.46659850003198	164.46659850003198	8.5	['8', 'a', '5', 'return']	[3.996742500050459, 4.4833508000010625, 5.06708740000613, 6.036398700030986]	6.35	6.11	0.0	20hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		74.67	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step3	1291	128.96	STIMULATE	46.2	45.9	45.9	46.0	46.2	3	93.726
81.016	0	40508	20hz	6	0	0	0	0	0.0	0.0	0.0	0.0	83.64216190000298	83.44328920001863	1700493929.3053918	p	74.43679140001768	158.11172620003344	164.46659850003198	164.46659850003198	8.5	['8', 'a', '5', 'return']	[3.996742500050459, 4.4833508000010625, 5.06708740000613, 6.036398700030986]	6.35	6.11	0.0	20hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		6.346000000000004	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step3	1291	128.96	STIMULATE	46.2	45.9	45.9	46.0	46.2	3	93.726
87.88	0	43940	20/Hi	4	0	0	0	0	0.0	0.0	0.0	0.0	83.64216190000298	83.44328920001863	1700493929.3053918	p	74.43679140001768	158.11172620003344	164.46659850003198	164.46659850003198	8.5	['8', 'a', '5', 'return']	[3.996742500050459, 4.4833508000010625, 5.06708740000613, 6.036398700030986]	6.35	6.11	0.0	20hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		6.11399999999999	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step3	1291	128.96	STIMULATE	46.2	45.9	45.9	46.0	46.2	3	93.726
100.09	0	50045	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						183.5315622999915	191.3588881000178	191.3588881000178	8.5	['8', 'a', '5', 'return']	[4.477982400043402, 5.021933200012427, 5.262820100004319, 5.94205160002457]	7.82	5.91	1.0	40hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		12.960000000000008	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step5	1560	155.674	STIMULATE	46.1	45.9	45.9	45.9	46.2	5	120.44
107.904	0	53952	40hz	9	0	0	0	0	1.0	0.0	1.0	0.0						183.5315622999915	191.3588881000178	191.3588881000178	8.5	['8', 'a', '5', 'return']	[4.477982400043402, 5.021933200012427, 5.262820100004319, 5.94205160002457]	7.82	5.91	1.0	40hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		7.813999999999993	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step5	1560	155.674	STIMULATE	46.1	45.9	45.9	45.9	46.2	5	120.44
114.564	0	57282	40/Hi	7	0	0	0	0	1.0	0.0	1.0	0.0						183.5315622999915	191.3588881000178	191.3588881000178	8.5	['8', 'a', '5', 'return']	[4.477982400043402, 5.021933200012427, 5.262820100004319, 5.94205160002457]	7.82	5.91	1.0	40hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		5.909999999999997	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step5	1560	155.674	STIMULATE	46.1	45.9	45.9	45.9	46.2	5	120.44
126.878	0	63439	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						210.31995760003335	217.1891130000004	217.1891130000004	8.5	['8', 'a', '5', 'return']	[3.545100999996066, 4.016918800014537, 4.2724557999754325, 4.960280800005421]	6.86	6.04	2.0	20hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		13.064000000000007	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step7	1822	181.628	STIMULATE	46.2	45.9	45.9	45.9	45.9	7	146.39399999999998
133.734	0	66867	20hz	6	0	0	0	0	2.0	0.0	2.0	0.0						210.31995760003335	217.1891130000004	217.1891130000004	8.5	['8', 'a', '5', 'return']	[3.545100999996066, 4.016918800014537, 4.2724557999754325, 4.960280800005421]	6.86	6.04	2.0	20hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		6.856000000000009	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step7	1822	181.628	STIMULATE	46.2	45.9	45.9	45.9	45.9	7	146.39399999999998
140.524	0	70262	20/Hi	4	0	0	0	0	2.0	0.0	2.0	0.0						210.31995760003335	217.1891130000004	217.1891130000004	8.5	['8', 'a', '5', 'return']	[3.545100999996066, 4.016918800014537, 4.2724557999754325, 4.960280800005421]	6.86	6.04	2.0	20hz	high_pain	46.0			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		6.039999999999992	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step7	1822	181.628	STIMULATE	46.2	45.9	45.9	45.9	45.9	7	146.39399999999998
151.734	0	75867	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						235.1767439999967	242.28863810002804	242.28863810002804	7.0	['7', 'return']	[3.6458673999877647, 4.549374800000805]	7.1	5.71	3.0	20hz	low_pain	44.5			sub-pilot021	250	21	44.5	46	COM11	COM7	COM3	2023-11-20_10h24.58.331	001-EEG_SVR_Officel	2022.2.5	143.95863204086615		11.960000000000008	0_sub-pilot021_SVR_EEG_block1-2.protocol.csv	step9	2072	206.459	STIMULATE	44.5	44.4	44.4	44.4	44.4	9	171.225
