onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
82.87	0	41435	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	60.58846030000132	60.37922400003299	1716316589.0551066	p	82.62666210002499	143.24161189998267	150.5897915000096	150.5897915000096	5.0	['5', 'return']	[3.2340807000291534, 4.009478899999522]	7.34	5.16	0.0	10hz	high_pain	48.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		82.87	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step3	1053	105.121	STIMULATE	48.9	48.9	48.9	48.9	49.0	3	101.983
90.206	0	45103	10hz	3	0	0	0	0	0.0	0.0	0.0	0.0	60.58846030000132	60.37922400003299	1716316589.0551066	p	82.62666210002499	143.24161189998267	150.5897915000096	150.5897915000096	5.0	['5', 'return']	[3.2340807000291534, 4.009478899999522]	7.34	5.16	0.0	10hz	high_pain	48.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		7.3359999999999985	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step3	1053	105.121	STIMULATE	48.9	48.9	48.9	48.9	49.0	3	101.983
96.114	0	48057	10/Hi	1	0	0	0	0	0.0	0.0	0.0	0.0	60.58846030000132	60.37922400003299	1716316589.0551066	p	82.62666210002499	143.24161189998267	150.5897915000096	150.5897915000096	5.0	['5', 'return']	[3.2340807000291534, 4.009478899999522]	7.34	5.16	0.0	10hz	high_pain	48.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		5.158000000000001	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step3	1053	105.121	STIMULATE	48.9	48.9	48.9	48.9	49.0	3	101.983
107.248	0	53624	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						167.6202448999975	175.57228860002942	175.57228860002942	3.0	['3', 'return']	[2.3781778999837115, 3.0661791999591514]	7.94	6.17	1.0	10hz	low_pain	47.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		11.884	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step5	1314	131.005	STIMULATE	47.9	47.9	47.9	47.9	48.0	5	127.867
115.188	0	57594	10hz	3	0	0	0	0	1.0	0.0	1.0	0.0						167.6202448999975	175.57228860002942	175.57228860002942	3.0	['3', 'return']	[2.3781778999837115, 3.0661791999591514]	7.94	6.17	1.0	10hz	low_pain	47.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		7.939999999999998	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step5	1314	131.005	STIMULATE	47.9	47.9	47.9	47.9	48.0	5	127.867
122.11	0	61055	10/Lo	2	0	0	0	0	1.0	0.0	1.0	0.0						167.6202448999975	175.57228860002942	175.57228860002942	3.0	['3', 'return']	[2.3781778999837115, 3.0661791999591514]	7.94	6.17	1.0	10hz	low_pain	47.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		6.171999999999997	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step5	1314	131.005	STIMULATE	47.9	47.9	47.9	47.9	48.0	5	127.867
131.286	0	65643	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						191.65792919998057	198.1372877000249	198.1372877000249	3.5	['3', 'a', '5', 'return']	[2.486088400008157, 2.7823100000387058, 3.0378786000073887, 4.22304820001591]	6.47	5.61	2.0	controle	high_pain	48.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		9.926000000000002	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step7	1537	153.151	STIMULATE	49.0	48.9	48.9	48.9	49.0	7	150.01300000000003
137.754	0	68877	CNhz	12	0	0	0	0	2.0	0.0	2.0	0.0						191.65792919998057	198.1372877000249	198.1372877000249	3.5	['3', 'a', '5', 'return']	[2.486088400008157, 2.7823100000387058, 3.0378786000073887, 4.22304820001591]	6.47	5.61	2.0	controle	high_pain	48.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		6.467999999999989	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step7	1537	153.151	STIMULATE	49.0	48.9	48.9	48.9	49.0	7	150.01300000000003
144.112	0	72056	CN/Hi	10	0	0	0	0	2.0	0.0	2.0	0.0						191.65792919998057	198.1372877000249	198.1372877000249	3.5	['3', 'a', '5', 'return']	[2.486088400008157, 2.7823100000387058, 3.0378786000073887, 4.22304820001591]	6.47	5.61	2.0	controle	high_pain	48.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		5.608000000000004	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step7	1537	153.151	STIMULATE	49.0	48.9	48.9	48.9	49.0	7	150.01300000000003
155.01	0	77505	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						215.38222279999167	222.9317638000357	222.9317638000357	2.0	['2', 'return']	[2.7952828999841586, 3.4598606000072323]	7.54	5.18	3.0	20hz	low_pain	47.9			sub-035	250	35	47.9	48.9	COM11	COM15	COM3	2024-05-21_14h35.47.557	001-EEG_SVR_Officel	2022.2.5	144.4149677035405		11.647999999999996	0_sub-pilot035_SVR_EEG_block1-2.protocol.csv	step9	1782	177.464	STIMULATE	47.9	47.9	47.9	47.9	47.9	9	174.32600000000002
