onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
61.362	0	30681	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	31.813649899995653	31.622958399995696	1717599189.4506688	p	61.14533130000928	92.98445710001396	100.48517160001212	100.48517160001212	10.0	['1', '0', 'return']	[4.025485400023172, 4.425834100024076, 6.442452200019034]	7.49	6.3	0.0	40hz	high_pain	47.2			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		61.362	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step3	571	56.935	STIMULATE	47.4	47.2	47.1	47.2	47.2	3	81.75200000000001
68.852	0	34426	40hz	9	0	0	0	0	0.0	0.0	0.0	0.0	31.813649899995653	31.622958399995696	1717599189.4506688	p	61.14533130000928	92.98445710001396	100.48517160001212	100.48517160001212	10.0	['1', '0', 'return']	[4.025485400023172, 4.425834100024076, 6.442452200019034]	7.49	6.3	0.0	40hz	high_pain	47.2			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		7.490000000000002	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step3	571	56.935	STIMULATE	47.4	47.2	47.1	47.2	47.2	3	81.75200000000001
75.906	0	37953	40/Hi	7	0	0	0	0	0.0	0.0	0.0	0.0	31.813649899995653	31.622958399995696	1717599189.4506688	p	61.14533130000928	92.98445710001396	100.48517160001212	100.48517160001212	10.0	['1', '0', 'return']	[4.025485400023172, 4.425834100024076, 6.442452200019034]	7.49	6.3	0.0	40hz	high_pain	47.2			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		6.304000000000002	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step3	571	56.935	STIMULATE	47.4	47.2	47.1	47.2	47.2	3	81.75200000000001
88.316	0	44158	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						119.93837340001484	126.53004850001888	126.53004850001888	10.0	['1', '0', 'return']	[2.621510600001784, 3.0692592000123113, 3.597049900010461]	6.58	5.87	1.0	40hz	high_pain	47.2			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		13.159999999999997	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step5	829	82.515	STIMULATE	47.4	47.1	47.2	47.1	47.2	5	107.33200000000001
94.896	0	47448	40hz	9	0	0	0	0	1.0	0.0	1.0	0.0						119.93837340001484	126.53004850001888	126.53004850001888	10.0	['1', '0', 'return']	[2.621510600001784, 3.0692592000123113, 3.597049900010461]	6.58	5.87	1.0	40hz	high_pain	47.2			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		6.579999999999998	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step5	829	82.515	STIMULATE	47.4	47.1	47.2	47.1	47.2	5	107.33200000000001
101.52	0	50760	40/Hi	7	0	0	0	0	1.0	0.0	1.0	0.0						119.93837340001484	126.53004850001888	126.53004850001888	10.0	['1', '0', 'return']	[2.621510600001784, 3.0692592000123113, 3.597049900010461]	6.58	5.87	1.0	40hz	high_pain	47.2			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		5.873999999999995	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step5	829	82.515	STIMULATE	47.4	47.1	47.2	47.1	47.2	5	107.33200000000001
111.514	0	55757	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						143.13607680000132	148.17858229999547	148.17858229999547	3.0	['3', 'return']	[4.41274249998969, 5.165575799997896]	5.03	5.13	2.0	20hz	low_pain	45.5			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		10.744	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step7	1040	103.413	STIMULATE	45.6	45.4	45.4	45.4	45.5	7	128.23000000000002
116.544	0	58272	20hz	6	0	0	0	0	2.0	0.0	2.0	0.0						143.13607680000132	148.17858229999547	148.17858229999547	3.0	['3', 'return']	[4.41274249998969, 5.165575799997896]	5.03	5.13	2.0	20hz	low_pain	45.5			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		5.030000000000001	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step7	1040	103.413	STIMULATE	45.6	45.4	45.4	45.4	45.5	7	128.23000000000002
122.426	0	61213	20/Lo	5	0	0	0	0	2.0	0.0	2.0	0.0						143.13607680000132	148.17858229999547	148.17858229999547	3.0	['3', 'return']	[4.41274249998969, 5.165575799997896]	5.03	5.13	2.0	20hz	low_pain	45.5			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		5.132000000000005	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step7	1040	103.413	STIMULATE	45.6	45.4	45.4	45.4	45.5	7	128.23000000000002
134.74	0	67370	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						166.36112590000266	171.9520875000162	171.9520875000162	6.0	['6', 'return']	[2.759777400002349, 3.3596802999963984]	5.58	5.34	3.0	40hz	high_pain	47.2			sub-039	250	39	45.5	47.2	COM11	COM15	COM3	2024-06-05_10h53.03.735	001-EEG_SVR_Officel	2022.2.5	142.70383816748523		13.064000000000007	0_sub-pilot039_SVR_EEG_block1-2.protocol.csv	step9	1282	127.41	STIMULATE	47.2	47.1	47.2	47.1	47.2	9	152.227
