onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
6.696	0	3348	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	213.92420029999997	213.7114766	1710856884.8256252	p	6.4509540999997625	220.4064435	227.3168117	227.3168117	8.5	['8', 'a', '5', 'return']	[3.2003059999997276, 3.680556599999818, 4.072326099999827, 5.761137799999688]	6.9	5.45	0.0	20hz	high_pain	47.4			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		6.696	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step3	754	75.241	STIMULATE	47.5	47.3	47.3	47.3	47.4	3	25.663
13.594	0	6797	20hz	6	0	0	0	0	0.0	0.0	0.0	0.0	213.92420029999997	213.7114766	1710856884.8256252	p	6.4509540999997625	220.4064435	227.3168117	227.3168117	8.5	['8', 'a', '5', 'return']	[3.2003059999997276, 3.680556599999818, 4.072326099999827, 5.761137799999688]	6.9	5.45	0.0	20hz	high_pain	47.4			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		6.898	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step3	754	75.241	STIMULATE	47.5	47.3	47.3	47.3	47.4	3	25.663
19.794	0	9897	20/Hi	4	0	0	0	0	0.0	0.0	0.0	0.0	213.92420029999997	213.7114766	1710856884.8256252	p	6.4509540999997625	220.4064435	227.3168117	227.3168117	8.5	['8', 'a', '5', 'return']	[3.2003059999997276, 3.680556599999818, 4.072326099999827, 5.761137799999688]	6.9	5.45	0.0	20hz	high_pain	47.4			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		5.450000000000001	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step3	754	75.241	STIMULATE	47.5	47.3	47.3	47.3	47.4	3	25.663
32.378	0	16189	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						246.08952199999976	251.2921465999998	251.2921465999998	6.0	['6', 'return']	[2.6015730000003714, 3.610968800000137]	5.19	5.56	1.0	20hz	low_pain	45.2			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		13.334	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step5	997	99.308	STIMULATE	45.2	45.1	45.1	45.1	45.4	5	49.730000000000004
37.57	0	18785	20hz	6	0	0	0	0	1.0	0.0	1.0	0.0						246.08952199999976	251.2921465999998	251.2921465999998	6.0	['6', 'return']	[2.6015730000003714, 3.610968800000137]	5.19	5.56	1.0	20hz	low_pain	45.2			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		5.192	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step5	997	99.308	STIMULATE	45.2	45.1	45.1	45.1	45.4	5	49.730000000000004
43.88	0	21940	20/Lo	5	0	0	0	0	1.0	0.0	1.0	0.0						246.08952199999976	251.2921465999998	251.2921465999998	6.0	['6', 'return']	[2.6015730000003714, 3.610968800000137]	5.19	5.56	1.0	20hz	low_pain	45.2			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		5.560000000000002	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step5	997	99.308	STIMULATE	45.2	45.1	45.1	45.1	45.4	5	49.730000000000004
54.208	0	27104	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						267.9189769	274.1766703999997	274.1766703999997	7.0	['7', 'return']	[2.4278572000002896, 3.2374855000002754]	6.25	6.47	2.0	controle	low_pain	45.2			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		11.077999999999996	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step7	1237	123.126	STIMULATE	45.3	45.1	45.1	45.1	45.4	7	73.548
60.454	0	30227	CNhz	12	0	0	0	0	2.0	0.0	2.0	0.0						267.9189769	274.1766703999997	274.1766703999997	7.0	['7', 'return']	[2.4278572000002896, 3.2374855000002754]	6.25	6.47	2.0	controle	low_pain	45.2			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		6.246000000000002	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step7	1237	123.126	STIMULATE	45.3	45.1	45.1	45.1	45.4	7	73.548
67.676	0	33838	CN/Lo	11	0	0	0	0	2.0	0.0	2.0	0.0						267.9189769	274.1766703999997	274.1766703999997	7.0	['7', 'return']	[2.4278572000002896, 3.2374855000002754]	6.25	6.47	2.0	controle	low_pain	45.2			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		6.472000000000001	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step7	1237	123.126	STIMULATE	45.3	45.1	45.1	45.1	45.4	7	73.548
76.724	0	38362	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						290.4359866	295.4646576	295.4646576	8.5	['8', 'a', '5', 'return']	[2.062290999999732, 2.5742496999996547, 2.821433799999795, 3.50162279999995]	5.02	5.69	3.0	20hz	high_pain	47.4			sub-026	250	26	45.2	47.4	COM11	COM16	COM3	2024-03-19_09h59.00.496	001-EEG_SVR_Officel	2022.2.5	143.9033199933916		9.798000000000002	0_sub-pilot026_SVR_EEG_block1-2.protocol.csv	step9	1444	143.648	STIMULATE	47.4	47.3	47.3	47.4	47.4	9	94.07
