onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
86.334	0	43167	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	53.21401079976931	53.01752860005945	1709926978.0343	p	86.09574460005388	139.3501971997321	144.70952320005745	144.70952320005745	4.0	['4', 'return']	[3.1677501001395285, 8.080527900252491]	5.35	5.42	0.0	10hz	low_pain	45.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		86.334	0_sub-023_SVR_EEG_block1-2.protocol.csv	step3	1109	110.716	STIMULATE	45.0	44.9	44.9	44.9	45.1	3	103.65599999999999
91.68	0	45840	10hz	3	0	0	0	0	0.0	0.0	0.0	0.0	53.21401079976931	53.01752860005945	1709926978.0343	p	86.09574460005388	139.3501971997321	144.70952320005745	144.70952320005745	4.0	['4', 'return']	[3.1677501001395285, 8.080527900252491]	5.35	5.42	0.0	10hz	low_pain	45.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		5.346000000000004	0_sub-023_SVR_EEG_block1-2.protocol.csv	step3	1109	110.716	STIMULATE	45.0	44.9	44.9	44.9	45.1	3	103.65599999999999
97.852	0	48926	10/Lo	2	0	0	0	0	0.0	0.0	0.0	0.0	53.21401079976931	53.01752860005945	1709926978.0343	p	86.09574460005388	139.3501971997321	144.70952320005745	144.70952320005745	4.0	['4', 'return']	[3.1677501001395285, 8.080527900252491]	5.35	5.42	0.0	10hz	low_pain	45.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		5.421999999999997	0_sub-023_SVR_EEG_block1-2.protocol.csv	step3	1109	110.716	STIMULATE	45.0	44.9	44.9	44.9	45.1	3	103.65599999999999
112.79	0	56395	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						165.8087418996729	171.63594749988988	171.63594749988988	8.0	['8', 'return']	[3.0496543999761343, 3.56791349966079]	5.82	5.35	1.0	controle	high_pain	47.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		15.688000000000002	0_sub-023_SVR_EEG_block1-2.protocol.csv	step5	1380	137.618	STIMULATE	47.1	46.9	47.0	47.0	47.1	5	130.558
118.606	0	59303	CNhz	12	0	0	0	0	1.0	0.0	1.0	0.0						165.8087418996729	171.63594749988988	171.63594749988988	8.0	['8', 'return']	[3.0496543999761343, 3.56791349966079]	5.82	5.35	1.0	controle	high_pain	47.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		5.815999999999988	0_sub-023_SVR_EEG_block1-2.protocol.csv	step5	1380	137.618	STIMULATE	47.1	46.9	47.0	47.0	47.1	5	130.558
124.708	0	62354	CN/Hi	10	0	0	0	0	1.0	0.0	1.0	0.0						165.8087418996729	171.63594749988988	171.63594749988988	8.0	['8', 'return']	[3.0496543999761343, 3.56791349966079]	5.82	5.35	1.0	controle	high_pain	47.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		5.352000000000004	0_sub-023_SVR_EEG_block1-2.protocol.csv	step5	1380	137.618	STIMULATE	47.1	46.9	47.0	47.0	47.1	5	130.558
135.196	0	67598	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						188.21420970000327	195.93051759991795	195.93051759991795	8.5	['8', 'a', '5', 'return']	[2.098648500163108, 2.538499199785292, 2.8503992999903858, 3.4903698000125587]	7.71	5.39	2.0	40hz	high_pain	47.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		11.238	0_sub-023_SVR_EEG_block1-2.protocol.csv	step7	1625	161.919	STIMULATE	47.2	46.9	47.0	46.9	47.2	7	154.859
142.9	0	71450	40hz	9	0	0	0	0	2.0	0.0	2.0	0.0						188.21420970000327	195.93051759991795	195.93051759991795	8.5	['8', 'a', '5', 'return']	[2.098648500163108, 2.538499199785292, 2.8503992999903858, 3.4903698000125587]	7.71	5.39	2.0	40hz	high_pain	47.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		7.704000000000008	0_sub-023_SVR_EEG_block1-2.protocol.csv	step7	1625	161.919	STIMULATE	47.2	46.9	47.0	46.9	47.2	7	154.859
149.046	0	74523	40/Hi	7	0	0	0	0	2.0	0.0	2.0	0.0						188.21420970000327	195.93051759991795	195.93051759991795	8.5	['8', 'a', '5', 'return']	[2.098648500163108, 2.538499199785292, 2.8503992999903858, 3.4903698000125587]	7.71	5.39	2.0	40hz	high_pain	47.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		5.395999999999987	0_sub-023_SVR_EEG_block1-2.protocol.csv	step7	1625	161.919	STIMULATE	47.2	46.9	47.0	46.9	47.2	7	154.859
159.422	0	79711	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						212.43941129976884	219.8292541000992	219.8292541000992	6.5	['6', 'a', '5', 'return']	[3.43189650028944, 3.7444592001847923, 3.9596694000065327, 5.064202700275928]	7.38	6.14	3.0	20hz	low_pain	45.0			sub-023	250	23	45	47	COM11	COM15	COM3	2024-03-08_14h42.20.666	001-EEG_SVR_Officel	2022.2.5	144.04551795218583		11.126000000000005	0_sub-023_SVR_EEG_block1-2.protocol.csv	step9	1874	186.665	STIMULATE	45.0	44.9	44.9	44.9	45.0	9	179.605
