onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	therm_loca_text.stopped	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
68.858	0	68858	wait	10005	0	0	0	0	0.0	0.0	0.0	0.0	45.69019289989956	45.60023449989967	p	68.73677700001281	114.45015159994364	122.24146869999822	122.24146869999822	4.0	['4', 'return']	[4.240146600059234, 5.216216100030579]	7.78	5.02	0.0	10hz	low_pain	47.2				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		68.858	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step3	1392	139.058	STIMULATE	47.2	47.1	47.2	47.2	47.4	3	88.23599999999999
76.638	0	76638	10hz	10004	0	0	0	0	0.0	0.0	0.0	0.0	45.69019289989956	45.60023449989967	p	68.73677700001281	114.45015159994364	122.24146869999822	122.24146869999822	4.0	['4', 'return']	[4.240146600059234, 5.216216100030579]	7.78	5.02	0.0	10hz	low_pain	47.2				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		7.780000000000001	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step3	1392	139.058	STIMULATE	47.2	47.1	47.2	47.2	47.4	3	88.23599999999999
82.412	0	82412	10/Lo	10001	0	0	0	0	0.0	0.0	0.0	0.0	45.69019289989956	45.60023449989967	p	68.73677700001281	114.45015159994364	122.24146869999822	122.24146869999822	4.0	['4', 'return']	[4.240146600059234, 5.216216100030579]	7.78	5.02	0.0	10hz	low_pain	47.2				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		5.024000000000001	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step3	1392	139.058	STIMULATE	47.2	47.1	47.2	47.2	47.4	3	88.23599999999999
94.874	0	94874	wait	10005	0	0	0	0	1.0	0.0	1.0	0.0					140.4661122999387	146.88263169990387	146.88263169990387	4.0	['4', 'return']	[1.9468065000837669, 2.9538598000071943]	6.41	6.13	1.0	40hz	high_pain	48.8				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		13.211999999999989	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step5	1651	164.721	STIMULATE	48.8	48.8	48.8	48.8	49.0	5	113.899
101.282	0	101282	40hz	10004	0	0	0	0	1.0	0.0	1.0	0.0					140.4661122999387	146.88263169990387	146.88263169990387	4.0	['4', 'return']	[1.9468065000837669, 2.9538598000071943]	6.41	6.13	1.0	40hz	high_pain	48.8				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		6.408000000000001	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step5	1651	164.721	STIMULATE	48.8	48.8	48.8	48.8	49.0	5	113.899
108.165	0	108165	40/Hi	10001	0	0	0	0	1.0	0.0	1.0	0.0					140.4661122999387	146.88263169990387	146.88263169990387	4.0	['4', 'return']	[1.9468065000837669, 2.9538598000071943]	6.41	6.13	1.0	40hz	high_pain	48.8				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		6.13300000000001	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step5	1651	164.721	STIMULATE	48.8	48.8	48.8	48.8	49.0	5	113.899
117.262	0	117262	wait	10005	0	0	0	0	2.0	0.0	2.0	0.0					162.85433099989314	170.19159579998814	170.19159579998814	3.0	['3', 'return']	[2.0224640999222174, 2.7264282000251114]	7.33	6.02	2.0	40hz	low_pain	47.2				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		9.846999999999994	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step7	1886	188.042	STIMULATE	47.2	47.2	47.1	47.2	47.2	7	137.22
124.591	0	124591	40hz	10004	0	0	0	0	2.0	0.0	2.0	0.0					162.85433099989314	170.19159579998814	170.19159579998814	3.0	['3', 'return']	[2.0224640999222174, 2.7264282000251114]	7.33	6.02	2.0	40hz	low_pain	47.2				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		7.3289999999999935	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step7	1886	188.042	STIMULATE	47.2	47.2	47.1	47.2	47.2	7	137.22
131.362	0	131362	40/Lo	10001	0	0	0	0	2.0	0.0	2.0	0.0					162.85433099989314	170.19159579998814	170.19159579998814	3.0	['3', 'return']	[2.0224640999222174, 2.7264282000251114]	7.33	6.02	2.0	40hz	low_pain	47.2				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		6.021000000000001	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step7	1886	188.042	STIMULATE	47.2	47.2	47.1	47.2	47.2	7	137.22
140.34	0	140340	wait	10005	0	0	0	0	3.0	0.0	3.0	0.0					185.93225339998023	191.48731060000136	191.48731060000136	6.0	['6', 'return']	[2.454528900096193, 3.087339400080964]	5.55	5.14	3.0	10hz	high_pain	48.8				sub-051	250	51	47.2	48.8	COM5	COM15	COM3	2024-12-09_09h55.14.423	001-EEG_SVR_Officel	2022.2.5	240.2662147553876		9.728000000000009	0_sub-pilot051_SVR_EEG_block1-2.protocol.csv	step9	2092	208.423	STIMULATE	48.8	48.7	48.8	48.8	48.8	9	157.601
