onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
2.784	0	1392	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	184.9955753000031	184.7779339000008	1700244651.0041895	p	2.5400173000016366	187.56294620000332	193.93899320000128	193.93899320000128	6.0	['6', 'return']	[3.181543099999544, 3.8778853000003437]	6.37	6.31	0.0	40hz	high_pain	46.5			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		2.784	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step3	1196	119.429	STIMULATE	46.7	46.4	46.4	46.4	46.5	3	22.095000000000006
9.148	0	4574	40hz	9	0	0	0	0	0.0	0.0	0.0	0.0	184.9955753000031	184.7779339000008	1700244651.0041895	p	2.5400173000016366	187.56294620000332	193.93899320000128	193.93899320000128	6.0	['6', 'return']	[3.181543099999544, 3.8778853000003437]	6.37	6.31	0.0	40hz	high_pain	46.5			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		6.364	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step3	1196	119.429	STIMULATE	46.7	46.4	46.4	46.4	46.5	3	22.095000000000006
16.21	0	8105	40/Hi	7	0	0	0	0	0.0	0.0	0.0	0.0	184.9955753000031	184.7779339000008	1700244651.0041895	p	2.5400173000016366	187.56294620000332	193.93899320000128	193.93899320000128	6.0	['6', 'return']	[3.181543099999544, 3.8778853000003437]	6.37	6.31	0.0	40hz	high_pain	46.5			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		6.312000000000001	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step3	1196	119.429	STIMULATE	46.7	46.4	46.4	46.4	46.5	3	22.095000000000006
26.05	0	13025	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						210.8291358000024	218.59513900000093	218.59513900000093	8.0	['8', 'return']	[3.261662700002489, 5.301883500000258]	7.76	5.39	1.0	controle	high_pain	46.5			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		10.59	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step5	1435	143.127	STIMULATE	46.8	46.4	46.4	46.5	46.7	5	45.79300000000001
33.806	0	16903	CNhz	12	0	0	0	0	1.0	0.0	1.0	0.0						210.8291358000024	218.59513900000093	218.59513900000093	8.0	['8', 'return']	[3.261662700002489, 5.301883500000258]	7.76	5.39	1.0	controle	high_pain	46.5			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		7.755999999999997	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step5	1435	143.127	STIMULATE	46.8	46.4	46.4	46.5	46.7	5	45.79300000000001
39.95	0	19975	CN/Hi	10	0	0	0	0	1.0	0.0	1.0	0.0						210.8291358000024	218.59513900000093	218.59513900000093	8.0	['8', 'return']	[3.261662700002489, 5.301883500000258]	7.76	5.39	1.0	controle	high_pain	46.5			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		5.3940000000000055	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step5	1435	143.127	STIMULATE	46.8	46.4	46.4	46.5	46.7	5	45.79300000000001
52.138	0	26069	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						236.9164641000025	243.4725698000002	243.4725698000002	4.0	['4', 'return']	[3.7672306999993452, 4.351482100002613]	6.55	5.8	2.0	controle	low_pain	44.0			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		12.937999999999995	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step7	1690	168.447	STIMULATE	43.9	43.9	43.9	43.9	44.1	7	71.113
58.682	0	29341	CNhz	12	0	0	0	0	2.0	0.0	2.0	0.0						236.9164641000025	243.4725698000002	243.4725698000002	4.0	['4', 'return']	[3.7672306999993452, 4.351482100002613]	6.55	5.8	2.0	controle	low_pain	44.0			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		6.544000000000004	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step7	1690	168.447	STIMULATE	43.9	43.9	43.9	43.9	44.1	7	71.113
65.236	0	32618	CN/Lo	11	0	0	0	0	2.0	0.0	2.0	0.0						236.9164641000025	243.4725698000002	243.4725698000002	4.0	['4', 'return']	[3.7672306999993452, 4.351482100002613]	6.55	5.8	2.0	controle	low_pain	44.0			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		5.804000000000002	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step7	1690	168.447	STIMULATE	43.9	43.9	43.9	43.9	44.1	7	71.113
76.056	0	38028	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						260.83526300000085	267.0657243000024	267.0657243000024	4.0	['4', 'return']	[3.22285230000125, 3.9921515000023646]	6.22	6.13	3.0	40hz	high_pain	46.5			sub-pilot020	250	20	44	46.5	COM11	COM7	COM3	2023-11-17_13h08.05.879	001-EEG_SVR_Officel	2022.2.5	143.37575343989676		11.569999999999993	0_sub-pilot020_SVR_EEG_block1-2.protocol.csv	step9	1930	192.217	STIMULATE	46.5	46.4	46.4	46.5	46.6	9	94.88300000000001
