onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
10.098	0	5049	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	205.9869390000001	205.78201310000009	1699639973.7448175	p	9.85026199999993	215.88071390000005	221.8812414000001	221.8812414000001	1.0	['1', 'return']	[3.3481177999999545, 4.699086800000032]	5.99	5.93	0.0	20hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		10.098	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step3	2303	230.165	STIMULATE	44.0	43.8	43.8	43.8	43.9	3	28.598999999999997
16.086	0	8042	20hz	6	0	0	0	0	0.0	0.0	0.0	0.0	205.9869390000001	205.78201310000009	1699639973.7448175	p	9.85026199999993	215.88071390000005	221.8812414000001	221.8812414000001	1.0	['1', 'return']	[3.3481177999999545, 4.699086800000032]	5.99	5.93	0.0	20hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.987999999999998	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step3	2303	230.165	STIMULATE	44.0	43.8	43.8	43.8	43.9	3	28.598999999999997
22.766	0	11383	20/Lo	5	0	0	0	0	0.0	0.0	0.0	0.0	205.9869390000001	205.78201310000009	1699639973.7448175	p	9.85026199999993	215.88071390000005	221.8812414000001	221.8812414000001	1.0	['1', 'return']	[3.3481177999999545, 4.699086800000032]	5.99	5.93	0.0	20hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.93	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step3	2303	230.165	STIMULATE	44.0	43.8	43.8	43.8	43.9	3	28.598999999999997
33.814	0	16907	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						239.5990577	245.40530940000008	245.40530940000008	2.0	['2', 'return']	[3.8971576999999797, 11.128915400000096]	5.8	5.71	1.0	10hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		11.798000000000002	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step5	2539	253.522	STIMULATE	43.9	43.8	43.8	43.8	44.0	5	51.955999999999996
39.61	0	19805	10hz	3	0	0	0	0	1.0	0.0	1.0	0.0						239.5990577	245.40530940000008	245.40530940000008	2.0	['2', 'return']	[3.8971576999999797, 11.128915400000096]	5.8	5.71	1.0	10hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.795999999999999	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step5	2539	253.522	STIMULATE	43.9	43.8	43.8	43.8	44.0	5	51.955999999999996
46.074	0	23037	10/Lo	2	0	0	0	0	1.0	0.0	1.0	0.0						239.5990577	245.40530940000008	245.40530940000008	2.0	['2', 'return']	[3.8971576999999797, 11.128915400000096]	5.8	5.71	1.0	10hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.713999999999999	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step5	2539	253.522	STIMULATE	43.9	43.8	43.8	43.8	44.0	5	51.955999999999996
63.762	0	31881	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						269.5466511	276.83919360000004	276.83919360000004	4.5	['4', 'a', '5', 'return']	[2.93484350000017, 3.240207499999997, 3.4309798000001592, 4.127386099999967]	7.28	5.35	2.0	20hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		18.438000000000002	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step7	2851	284.578	STIMULATE	44.9	44.8	44.8	44.8	44.9	7	83.01199999999997
71.042	0	35521	20hz	6	0	0	0	0	2.0	0.0	2.0	0.0						269.5466511	276.83919360000004	276.83919360000004	4.5	['4', 'a', '5', 'return']	[2.93484350000017, 3.240207499999997, 3.4309798000001592, 4.127386099999967]	7.28	5.35	2.0	20hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		7.280000000000001	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step7	2851	284.578	STIMULATE	44.9	44.8	44.8	44.8	44.9	7	83.01199999999997
77.146	0	38573	20/Hi	4	0	0	0	0	2.0	0.0	2.0	0.0						269.5466511	276.83919360000004	276.83919360000004	4.5	['4', 'a', '5', 'return']	[2.93484350000017, 3.240207499999997, 3.4309798000001592, 4.127386099999967]	7.28	5.35	2.0	20hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.353999999999999	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step7	2851	284.578	STIMULATE	44.9	44.8	44.8	44.8	44.9	7	83.01199999999997
88.204	0	44102	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						293.98710670000014	300.6894761000001	300.6894761000001	6.5	['6', 'a', '5', 'return']	[2.860890599999948, 3.299767900000006, 3.6833767999999054, 4.428415800000039]	6.69	5.44	3.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		11.807999999999993	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step9	3093	308.516	STIMULATE	44.9	44.8	44.8	44.8	44.8	9	106.95000000000002
94.892	0	47446	10hz	3	0	0	0	0	3.0	0.0	3.0	0.0						293.98710670000014	300.6894761000001	300.6894761000001	6.5	['6', 'a', '5', 'return']	[2.860890599999948, 3.299767900000006, 3.6833767999999054, 4.428415800000039]	6.69	5.44	3.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		6.688000000000002	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step9	3093	308.516	STIMULATE	44.9	44.8	44.8	44.8	44.8	9	106.95000000000002
101.084	0	50542	10/Hi	1	0	0	0	0	3.0	0.0	3.0	0.0						293.98710670000014	300.6894761000001	300.6894761000001	6.5	['6', 'a', '5', 'return']	[2.860890599999948, 3.299767900000006, 3.6833767999999054, 4.428415800000039]	6.69	5.44	3.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.442000000000007	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step9	3093	308.516	STIMULATE	44.9	44.8	44.8	44.8	44.8	9	106.95000000000002
112.344	0	56172	wait	20	0	0	0	0	4.0	0.0	4.0	0.0						318.12852250000014	324.4562306	324.4562306	5.5	['5', 'a', '5', 'return']	[3.0925524000001587, 3.6141571000000567, 3.8291834000001472, 4.710194499999943]	6.32	5.29	0.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		12.009999999999991	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step11	3331	332.137	STIMULATE	44.9	44.7	44.8	44.8	45.0	11	130.571
118.66	0	59330	10hz	3	0	0	0	0	4.0	0.0	4.0	0.0						318.12852250000014	324.4562306	324.4562306	5.5	['5', 'a', '5', 'return']	[3.0925524000001587, 3.6141571000000567, 3.8291834000001472, 4.710194499999943]	6.32	5.29	0.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		6.3160000000000025	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step11	3331	332.137	STIMULATE	44.9	44.7	44.8	44.8	45.0	11	130.571
124.7	0	62350	10/Hi	1	0	0	0	0	4.0	0.0	4.0	0.0						318.12852250000014	324.4562306	324.4562306	5.5	['5', 'a', '5', 'return']	[3.0925524000001587, 3.6141571000000567, 3.8291834000001472, 4.710194499999943]	6.32	5.29	0.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.290000000000006	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step11	3331	332.137	STIMULATE	44.9	44.7	44.8	44.8	45.0	11	130.571
136.396	0	68198	wait	20	0	0	0	0	5.0	0.0	5.0	0.0						342.1803781000001	348.5015263	348.5015263	2.0	['2', 'return']	[3.711787700000059, 4.655060100000128]	6.31	5.79	1.0	20hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		12.445999999999984	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step13	3579	356.774	STIMULATE	43.9	43.8	43.8	43.8	43.9	13	155.208
142.704	0	71352	20hz	6	0	0	0	0	5.0	0.0	5.0	0.0						342.1803781000001	348.5015263	348.5015263	2.0	['2', 'return']	[3.711787700000059, 4.655060100000128]	6.31	5.79	1.0	20hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		6.308000000000021	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step13	3579	356.774	STIMULATE	43.9	43.8	43.8	43.8	43.9	13	155.208
149.244	0	74622	20/Lo	5	0	0	0	0	5.0	0.0	5.0	0.0						342.1803781000001	348.5015263	348.5015263	2.0	['2', 'return']	[3.711787700000059, 4.655060100000128]	6.31	5.79	1.0	20hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.789999999999992	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step13	3579	356.774	STIMULATE	43.9	43.8	43.8	43.8	43.9	13	155.208
160.392	0	80196	wait	20	0	0	0	0	6.0	0.0	6.0	0.0						366.17646460000014	372.47660280000014	372.47660280000014	5.0	['5', 'return']	[2.9291556000000583, 3.4891146999998455]	6.29	5.71	2.0	40hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		11.897999999999996	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step15	3820	380.624	STIMULATE	44.9	44.8	44.8	44.8	44.9	15	179.05800000000002
166.678	0	83339	40hz	9	0	0	0	0	6.0	0.0	6.0	0.0						366.17646460000014	372.47660280000014	372.47660280000014	5.0	['5', 'return']	[2.9291556000000583, 3.4891146999998455]	6.29	5.71	2.0	40hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		6.286000000000001	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step15	3820	380.624	STIMULATE	44.9	44.8	44.8	44.8	44.9	15	179.05800000000002
173.142	0	86571	40/Hi	7	0	0	0	0	6.0	0.0	6.0	0.0						366.17646460000014	372.47660280000014	372.47660280000014	5.0	['5', 'return']	[2.9291556000000583, 3.4891146999998455]	6.29	5.71	2.0	40hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.713999999999999	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step15	3820	380.624	STIMULATE	44.9	44.8	44.8	44.8	44.9	15	179.05800000000002
183.192	0	91596	wait	20	0	0	0	0	7.0	0.0	7.0	0.0						388.97817780000014	396.3606512000001	396.3606512000001	6.5	['6', 'a', '5', 'return']	[3.413617899999963, 3.9820165999999517, 4.6371226999999635, 5.581237500000043]	7.37	5.42	3.0	20hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		10.800000000000011	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step17	4058	404.243	STIMULATE	44.9	44.8	44.8	44.8	44.8	17	202.677
190.564	0	95282	20hz	6	0	0	0	0	7.0	0.0	7.0	0.0						388.97817780000014	396.3606512000001	396.3606512000001	6.5	['6', 'a', '5', 'return']	[3.413617899999963, 3.9820165999999517, 4.6371226999999635, 5.581237500000043]	7.37	5.42	3.0	20hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		7.371999999999986	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step17	4058	404.243	STIMULATE	44.9	44.8	44.8	44.8	44.8	17	202.677
196.736	0	98368	20/Hi	4	0	0	0	0	7.0	0.0	7.0	0.0						388.97817780000014	396.3606512000001	396.3606512000001	6.5	['6', 'a', '5', 'return']	[3.413617899999963, 3.9820165999999517, 4.6371226999999635, 5.581237500000043]	7.37	5.42	3.0	20hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.421999999999997	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step17	4058	404.243	STIMULATE	44.9	44.8	44.8	44.8	44.8	17	202.677
209.176	0	104588	wait	20	0	0	0	0	8.0	0.0	8.0	0.0						414.9600664	421.3914658000001	421.3914658000001	4.0	['4', 'return']	[3.3896462000000156, 3.9987509000000045]	6.42	6.06	0.0	40hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		13.189999999999998	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step19	4315	429.718	STIMULATE	44.0	43.8	43.8	43.8	44.0	19	228.15200000000002
215.594	0	107797	40hz	9	0	0	0	0	8.0	0.0	8.0	0.0						414.9600664	421.3914658000001	421.3914658000001	4.0	['4', 'return']	[3.3896462000000156, 3.9987509000000045]	6.42	6.06	0.0	40hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		6.418000000000006	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step19	4315	429.718	STIMULATE	44.0	43.8	43.8	43.8	44.0	19	228.15200000000002
222.406	0	111203	40/Lo	8	0	0	0	0	8.0	0.0	8.0	0.0						414.9600664	421.3914658000001	421.3914658000001	4.0	['4', 'return']	[3.3896462000000156, 3.9987509000000045]	6.42	6.06	0.0	40hz	low_pain	43.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		6.062000000000012	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step19	4315	429.718	STIMULATE	44.0	43.8	43.8	43.8	44.0	19	228.15200000000002
232.622	0	116311	wait	20	0	0	0	0	9.0	0.0	9.0	0.0						438.4073215000001	443.789931	443.789931	4.0	['4', 'return']	[2.9925828000000365, 3.569190899999967]	5.37	6.35	1.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		10.966000000000008	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step21	4545	452.555	STIMULATE	44.9	44.8	44.8	44.8	45.0	21	250.989
237.992	0	118996	10hz	3	0	0	0	0	9.0	0.0	9.0	0.0						438.4073215000001	443.789931	443.789931	4.0	['4', 'return']	[2.9925828000000365, 3.569190899999967]	5.37	6.35	1.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		5.369999999999976	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step21	4545	452.555	STIMULATE	44.9	44.8	44.8	44.8	45.0	21	250.989
245.096	0	122548	10/Hi	1	0	0	0	0	9.0	0.0	9.0	0.0						438.4073215000001	443.789931	443.789931	4.0	['4', 'return']	[2.9925828000000365, 3.569190899999967]	5.37	6.35	1.0	10hz	high_pain	44.9			sub-pilot017	250	17	43.9	44.9	COM11	COM7	COM3	2023-11-10_13h09.56.900	001-EEG_SVR_Officel	2022.2.5	144.1038469963728		6.354000000000013	0_sub-pilot017_SVR_EEG_block1-2.protocol.csv	step21	4545	452.555	STIMULATE	44.9	44.8	44.8	44.8	45.0	21	250.989
