onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	rec_start_egi	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
3.642	0	1821	wait	20	0	0	0	0	0.0	0.0	0.0	0.0	158.47733489994425	158.26777619996574	1711724225.883658	p	3.4139188999542966	161.90870509995148	167.208396299975	167.208396299975	2.0	['2', 'return']	[4.865184299997054, 5.568526200018823]	5.29	6.46	0.0	40hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		3.642	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step3	879	87.76	STIMULATE	44.4	44.2	44.2	44.2	44.3	3	21.99900000000001
8.926	0	4463	40hz	9	0	0	0	0	0.0	0.0	0.0	0.0	158.47733489994425	158.26777619996574	1711724225.883658	p	3.4139188999542966	161.90870509995148	167.208396299975	167.208396299975	2.0	['2', 'return']	[4.865184299997054, 5.568526200018823]	5.29	6.46	0.0	40hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		5.284000000000001	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step3	879	87.76	STIMULATE	44.4	44.2	44.2	44.2	44.3	3	21.99900000000001
16.14	0	8070	40/Lo	8	0	0	0	0	0.0	0.0	0.0	0.0	158.47733489994425	158.26777619996574	1711724225.883658	p	3.4139188999542966	161.90870509995148	167.208396299975	167.208396299975	2.0	['2', 'return']	[4.865184299997054, 5.568526200018823]	5.29	6.46	0.0	40hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		6.464	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step3	879	87.76	STIMULATE	44.4	44.2	44.2	44.2	44.3	3	21.99900000000001
27.516	0	13758	wait	20	0	0	0	0	1.0	0.0	1.0	0.0						185.7849931999808	192.43807789997663	192.43807789997663	3.0	['3', 'return']	[2.922502600005828, 3.4899214999750257]	6.65	6.38	1.0	10hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		12.125999999999998	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step5	1133	112.903	STIMULATE	44.3	44.2	44.2	44.2	44.2	5	47.14200000000001
34.166	0	17083	10hz	3	0	0	0	0	1.0	0.0	1.0	0.0						185.7849931999808	192.43807789997663	192.43807789997663	3.0	['3', 'return']	[2.922502600005828, 3.4899214999750257]	6.65	6.38	1.0	10hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		6.649999999999999	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step5	1133	112.903	STIMULATE	44.3	44.2	44.2	44.2	44.2	5	47.14200000000001
41.296	0	20648	10/Lo	2	0	0	0	0	1.0	0.0	1.0	0.0						185.7849931999808	192.43807789997663	192.43807789997663	3.0	['3', 'return']	[2.922502600005828, 3.4899214999750257]	6.65	6.38	1.0	10hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		6.380000000000003	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step5	1133	112.903	STIMULATE	44.3	44.2	44.2	44.2	44.2	5	47.14200000000001
50.678	0	25339	wait	20	0	0	0	0	2.0	0.0	2.0	0.0						208.94717049994503	216.33826029999184	216.33826029999184	4.0	['4', 'return']	[3.351909999968484, 4.119348799926229]	7.39	5.77	2.0	20hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		10.131999999999998	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step7	1368	136.271	STIMULATE	44.3	44.2	44.2	44.2	44.4	7	70.50999999999999
58.064	0	29032	20hz	6	0	0	0	0	2.0	0.0	2.0	0.0						208.94717049994503	216.33826029999184	216.33826029999184	4.0	['4', 'return']	[3.351909999968484, 4.119348799926229]	7.39	5.77	2.0	20hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		7.386000000000003	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step7	1368	136.271	STIMULATE	44.3	44.2	44.2	44.2	44.4	7	70.50999999999999
64.584	0	32292	20/Lo	5	0	0	0	0	2.0	0.0	2.0	0.0						208.94717049994503	216.33826029999184	216.33826029999184	4.0	['4', 'return']	[3.351909999968484, 4.119348799926229]	7.39	5.77	2.0	20hz	low_pain	44.3			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		5.770000000000003	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step7	1368	136.271	STIMULATE	44.3	44.2	44.2	44.2	44.4	7	70.50999999999999
75.21	0	37605	wait	20	0	0	0	0	3.0	0.0	3.0	0.0						233.47850460000336	240.7288447000319	240.7288447000319	6.0	['6', 'return']	[2.287269699969329, 3.4157150998944417]	7.25	5.58	3.0	20hz	high_pain	45.7			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		11.37599999999999	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step9	1611	160.302	STIMULATE	45.7	45.6	45.6	45.7	45.7	9	94.541
82.456	0	41228	20hz	6	0	0	0	0	3.0	0.0	3.0	0.0						233.47850460000336	240.7288447000319	240.7288447000319	6.0	['6', 'return']	[2.287269699969329, 3.4157150998944417]	7.25	5.58	3.0	20hz	high_pain	45.7			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		7.246000000000009	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step9	1611	160.302	STIMULATE	45.7	45.6	45.6	45.7	45.7	9	94.541
88.788	0	44394	20/Hi	4	0	0	0	0	3.0	0.0	3.0	0.0						233.47850460000336	240.7288447000319	240.7288447000319	6.0	['6', 'return']	[2.287269699969329, 3.4157150998944417]	7.25	5.58	3.0	20hz	high_pain	45.7			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		5.581999999999994	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step9	1611	160.302	STIMULATE	45.7	45.6	45.6	45.7	45.7	9	94.541
98.894	0	49447	wait	20	0	0	0	0	4.0	0.0	4.0	0.0						257.16127979999874	262.3911458000075	262.3911458000075	4.0	['4', 'return']	[3.001691799960099, 4.520879799965769]	5.23	5.33	0.0	20hz	high_pain	45.7			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		10.856000000000009	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step11	1828	181.832	STIMULATE	45.7	45.6	45.6	45.7	45.9	11	116.071
104.118	0	52059	20hz	6	0	0	0	0	4.0	0.0	4.0	0.0						257.16127979999874	262.3911458000075	262.3911458000075	4.0	['4', 'return']	[3.001691799960099, 4.520879799965769]	5.23	5.33	0.0	20hz	high_pain	45.7			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		5.2239999999999895	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step11	1828	181.832	STIMULATE	45.7	45.6	45.6	45.7	45.9	11	116.071
110.2	0	55100	20/Hi	4	0	0	0	0	4.0	0.0	4.0	0.0						257.16127979999874	262.3911458000075	262.3911458000075	4.0	['4', 'return']	[3.001691799960099, 4.520879799965769]	5.23	5.33	0.0	20hz	high_pain	45.7			sub-029	250	29	44.3	45.7	COM14	COM15	COM3	2024-03-29_10h54.53.743	001-EEG_SVR_Officel	2022.2.5	144.06502514820073		5.332000000000008	0_sub-pilot029_SVR_EEG_block1-2.protocol.csv	step11	1828	181.832	STIMULATE	45.7	45.6	45.6	45.7	45.9	11	116.071
