onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	therm_loca_text.stopped	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
85.016	0	85016	wait	10004	0	0	0	0	0.0	0.0	0.0	0.0	40.48643689999881	40.39414390000093	p	84.91073450000113	125.42209759999967	133.0719785000001	133.0719785000001	6.0	['6', 'return']	[10.533466200002294, 11.66115980000177]	7.64	5.62	0.0	20hz	high_pain	48.5				sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		85.016	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step3	2076	207.466	STIMULATE	48.7	48.4	48.4	48.5	48.5	3	104.852
92.65	0	92650	20hz	10003	0	0	0	0	0.0	0.0	0.0	0.0	40.48643689999881	40.39414390000093	p	84.91073450000113	125.42209759999967	133.0719785000001	133.0719785000001	6.0	['6', 'return']	[10.533466200002294, 11.66115980000177]	7.64	5.62	0.0	20hz	high_pain	48.5				sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		7.634	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step3	2076	207.466	STIMULATE	48.7	48.4	48.4	48.5	48.5	3	104.852
99.031	0	99031	20/Hi	10001	0	0	0	0	0.0	0.0	0.0	0.0	40.48643689999881	40.39414390000093	p	84.91073450000113	125.42209759999967	133.0719785000001	133.0719785000001	6.0	['6', 'return']	[10.533466200002294, 11.66115980000177]	7.64	5.62	0.0	20hz	high_pain	48.5				sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		5.631	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step3	2076	207.466	STIMULATE	48.7	48.4	48.4	48.5	48.5	3	104.852
117.366	0	117366	wait	10004	0	0	0	0	1.0	0.0	1.0	0.0					157.77177709999887	165.1384025999978	165.1384025999978	5.0	['5', 'return']	[3.2590467000009085, 3.706211100001383]	7.35	5.58	1.0	controle	low_pain	46.6	178.13838709999982			sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		19.084999999999994	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step5	2399	239.526	STIMULATE	46.6	46.5	46.5	46.5	46.5	5	136.912
124.716	0	124716	CNhz	10003	0	0	0	0	1.0	0.0	1.0	0.0					157.77177709999887	165.1384025999978	165.1384025999978	5.0	['5', 'return']	[3.2590467000009085, 3.706211100001383]	7.35	5.58	1.0	controle	low_pain	46.6	178.13838709999982			sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		7.349999999999994	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step5	2399	239.526	STIMULATE	46.6	46.5	46.5	46.5	46.5	5	136.912
131.049	0	131049	CN/Lo	10001	0	0	0	0	1.0	0.0	1.0	0.0					157.77177709999887	165.1384025999978	165.1384025999978	5.0	['5', 'return']	[3.2590467000009085, 3.706211100001383]	7.35	5.58	1.0	controle	low_pain	46.6	178.13838709999982			sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		5.583000000000013	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step5	2399	239.526	STIMULATE	46.6	46.5	46.5	46.5	46.5	5	136.912
141.48	0	141480	wait	10004	0	0	0	0	2.0	0.0	2.0	0.0					181.88634009999805	188.7715055000008	188.7715055000008	5.0	['5', 'return']	[6.619160800000827, 7.355665200000658]	6.88	5.52	2.0	20hz	low_pain	46.6				sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		11.180999999999983	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step7	2636	263.069	STIMULATE	46.7	46.5	46.5	46.5	46.6	7	160.455
148.349	0	148349	20hz	10003	0	0	0	0	2.0	0.0	2.0	0.0					181.88634009999805	188.7715055000008	188.7715055000008	5.0	['5', 'return']	[6.619160800000827, 7.355665200000658]	6.88	5.52	2.0	20hz	low_pain	46.6				sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		6.869	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step7	2636	263.069	STIMULATE	46.7	46.5	46.5	46.5	46.6	7	160.455
154.632	0	154632	20/Lo	10001	0	0	0	0	2.0	0.0	2.0	0.0					181.88634009999805	188.7715055000008	188.7715055000008	5.0	['5', 'return']	[6.619160800000827, 7.355665200000658]	6.88	5.52	2.0	20hz	low_pain	46.6				sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		5.5330000000000155	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step7	2636	263.069	STIMULATE	46.7	46.5	46.5	46.5	46.6	7	160.455
168.78	0	168780	wait	10004	0	0	0	0	3.0	0.0	3.0	0.0					209.18623099999968	216.1880308	216.1880308	7.0	['7', 'return']	[3.2495001000024786, 3.7131879000007757]	7.0	6.1	3.0	20hz	high_pain	48.5	229.1877786999976			sub-046	250	46	46.6	48.5	COM5	COM15	COM3	2024-10-01_15h18.57.810	001-EEG_SVR_Officel	2022.2.5	60.58472743726854		14.897999999999996	0_sub-pilot046_SVR_EEG_block1-2.protocol.csv	step9	2918	291.075	STIMULATE	48.7	48.4	48.5	48.5	48.5	9	188.46099999999998
