onset	duration	sample	trial_type	value	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	reps.thisRepN	reps.thisTrialN	reps.thisN	reps.thisIndex	afrec_start	rec_start	key_resp.keys	key_resp.rt	wait_time_text.started	wait_time_text.stopped	therm_loca_text.started	subResponse	keyResp.keys	keyResp.rt	ITI_wait	wait_trigger	loca_thermode	Hz_condition	temp_condition	temp_valeur	therm_loca_text.stopped	text.started	text.stopped	participant	brightness	num_part	low	high	com_svr	com_thermode	com_eeg	date	expName	psychopyVersion	frameRate	Unnamed: 39	distance_from_previous	file	step	index	time	type	temp1	temp2	temp3	temp4	temp5	step_num	time_sync
24.477	0	24477	wait	10004	0	0	0	0	0.0	0.0	0.0	0.0	98.83470590005165	98.75248720002128	p	24.352166299999222	123.21880630002124	129.06880190002266	129.06880190002266	4.0	['4', 'return']	[4.310965600016061, 4.958598500001244]	5.85	6.46	0.0	controle	low_pain	48.4				sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		24.477	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step3	1508	150.649	STIMULATE	48.6	48.3	48.3	48.4	48.5	3	43.41000000000001
30.311	0	30311	CNhz	10003	0	0	0	0	0.0	0.0	0.0	0.0	98.83470590005165	98.75248720002128	p	24.352166299999222	123.21880630002124	129.06880190002266	129.06880190002266	4.0	['4', 'return']	[4.310965600016061, 4.958598500001244]	5.85	6.46	0.0	controle	low_pain	48.4				sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		5.834	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step3	1508	150.649	STIMULATE	48.6	48.3	48.3	48.4	48.5	3	43.41000000000001
37.527	0	37527	CN/Lo	10001	0	0	0	0	0.0	0.0	0.0	0.0	98.83470590005165	98.75248720002128	p	24.352166299999222	123.21880630002124	129.06880190002266	129.06880190002266	4.0	['4', 'return']	[4.310965600016061, 4.958598500001244]	5.85	6.46	0.0	controle	low_pain	48.4				sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		6.466000000000001	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step3	1508	150.649	STIMULATE	48.6	48.3	48.3	48.4	48.5	3	43.41000000000001
48.325	0	48325	wait	10004	0	0	0	0	1.0	0.0	1.0	0.0					147.06591689999914	152.2000420000404	152.2000420000404	3.5	['3', 'a', '5', 'return']	[4.3627432999783196, 4.611261199985165, 5.123105900012888, 10.883085599984042]	5.13	6.29	1.0	40hz	high_pain	49.5	165.20007840002654			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		11.548000000000002	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step5	1740	173.647	STIMULATE	49.6	49.5	49.5	49.5	49.7	5	66.408
53.444	0	53444	40hz	10003	0	0	0	0	1.0	0.0	1.0	0.0					147.06591689999914	152.2000420000404	152.2000420000404	3.5	['3', 'a', '5', 'return']	[4.3627432999783196, 4.611261199985165, 5.123105900012888, 10.883085599984042]	5.13	6.29	1.0	40hz	high_pain	49.5	165.20007840002654			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		5.119	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step5	1740	173.647	STIMULATE	49.6	49.5	49.5	49.5	49.7	5	66.408
60.492	0	60492	40/Hi	10001	0	0	0	0	1.0	0.0	1.0	0.0					147.06591689999914	152.2000420000404	152.2000420000404	3.5	['3', 'a', '5', 'return']	[4.3627432999783196, 4.611261199985165, 5.123105900012888, 10.883085599984042]	5.13	6.29	1.0	40hz	high_pain	49.5	165.20007840002654			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		6.297999999999995	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step5	1740	173.647	STIMULATE	49.6	49.5	49.5	49.5	49.7	5	66.408
77.392	0	77392	wait	10004	0	0	0	0	2.0	0.0	2.0	0.0					176.1330821000156	183.46651350002503	183.46651350002503	4.0	['4', 'return']	[3.784674599999562, 4.609033300017472]	7.33	6.34	2.0	10hz	high_pain	49.5	196.4663715000497			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		17.65	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step7	2055	204.911	STIMULATE	49.5	49.5	49.5	49.5	49.6	7	97.67200000000001
84.709	0	84709	10hz	10003	0	0	0	0	2.0	0.0	2.0	0.0					176.1330821000156	183.46651350002503	183.46651350002503	4.0	['4', 'return']	[3.784674599999562, 4.609033300017472]	7.33	6.34	2.0	10hz	high_pain	49.5	196.4663715000497			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		7.317000000000007	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step7	2055	204.911	STIMULATE	49.5	49.5	49.5	49.5	49.6	7	97.67200000000001
91.824	0	91824	10/Hi	10001	0	0	0	0	2.0	0.0	2.0	0.0					176.1330821000156	183.46651350002503	183.46651350002503	4.0	['4', 'return']	[3.784674599999562, 4.609033300017472]	7.33	6.34	2.0	10hz	high_pain	49.5	196.4663715000497			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		6.364999999999995	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step7	2055	204.911	STIMULATE	49.5	49.5	49.5	49.5	49.6	7	97.67200000000001
102.372	0	102372	wait	10004	0	0	0	0	3.0	0.0	3.0	0.0					201.11361980001675	207.5332366000512	207.5332366000512	3.5	['3', 'a', '5', 'return']	[1.7508415000047535, 2.006663399981335, 2.3349564999807626, 3.7181696000043303]	6.42	5.15	3.0	40hz	low_pain	48.4	220.53285030002007			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		11.298000000000002	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step9	2285	227.719	STIMULATE	48.4	48.4	48.4	48.4	48.4	9	120.48
108.781	0	108781	40hz	10003	0	0	0	0	3.0	0.0	3.0	0.0					201.11361980001675	207.5332366000512	207.5332366000512	3.5	['3', 'a', '5', 'return']	[1.7508415000047535, 2.006663399981335, 2.3349564999807626, 3.7181696000043303]	6.42	5.15	3.0	40hz	low_pain	48.4	220.53285030002007			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		6.409000000000006	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step9	2285	227.719	STIMULATE	48.4	48.4	48.4	48.4	48.4	9	120.48
114.692	0	114692	40/Lo	10001	0	0	0	0	3.0	0.0	3.0	0.0					201.11361980001675	207.5332366000512	207.5332366000512	3.5	['3', 'a', '5', 'return']	[1.7508415000047535, 2.006663399981335, 2.3349564999807626, 3.7181696000043303]	6.42	5.15	3.0	40hz	low_pain	48.4	220.53285030002007			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		5.160999999999987	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step9	2285	227.719	STIMULATE	48.4	48.4	48.4	48.4	48.4	9	120.48
125.558	0	125558	wait	10004	0	0	0	0	4.0	0.0	4.0	0.0					224.2996364000137	230.09933940001065	230.09933940001065	4.5	['4', 'a', '5', 'return']	[2.1120890000020154, 2.6557413999689743, 2.86307639995357, 4.04772370000137]	5.8	5.11	0.0	controle	high_pain	49.5	243.0997314000269			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		11.616000000000014	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step11	2513	250.336	STIMULATE	49.6	49.4	49.5	49.5	49.8	11	143.09700000000004
131.342	0	131342	CNhz	10003	0	0	0	0	4.0	0.0	4.0	0.0					224.2996364000137	230.09933940001065	230.09933940001065	4.5	['4', 'a', '5', 'return']	[2.1120890000020154, 2.6557413999689743, 2.86307639995357, 4.04772370000137]	5.8	5.11	0.0	controle	high_pain	49.5	243.0997314000269			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		5.784000000000006	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step11	2513	250.336	STIMULATE	49.6	49.4	49.5	49.5	49.8	11	143.09700000000004
137.208	0	137208	CN/Hi	10001	0	0	0	0	4.0	0.0	4.0	0.0					224.2996364000137	230.09933940001065	230.09933940001065	4.5	['4', 'a', '5', 'return']	[2.1120890000020154, 2.6557413999689743, 2.86307639995357, 4.04772370000137]	5.8	5.11	0.0	controle	high_pain	49.5	243.0997314000269			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		5.1159999999999854	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step11	2513	250.336	STIMULATE	49.6	49.4	49.5	49.5	49.8	11	143.09700000000004
148.441	0	148441	wait	10004	0	0	0	0	5.0	0.0	5.0	0.0					247.18272370001068	254.43234320002372	254.43234320002372	4.0	['4', 'return']	[3.0117607999709435, 3.66737069998635]	7.25	5.79	1.0	controle	low_pain	48.4	267.4317110000411			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		11.983000000000004	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step13	2765	275.375	STIMULATE	48.4	48.4	48.4	48.4	48.5	13	168.13600000000002
155.675	0	155675	CNhz	10003	0	0	0	0	5.0	0.0	5.0	0.0					247.18272370001068	254.43234320002372	254.43234320002372	4.0	['4', 'return']	[3.0117607999709435, 3.66737069998635]	7.25	5.79	1.0	controle	low_pain	48.4	267.4317110000411			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		7.234000000000009	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step13	2765	275.375	STIMULATE	48.4	48.4	48.4	48.4	48.5	13	168.13600000000002
162.225	0	162225	CN/Lo	10001	0	0	0	0	5.0	0.0	5.0	0.0					247.18272370001068	254.43234320002372	254.43234320002372	4.0	['4', 'return']	[3.0117607999709435, 3.66737069998635]	7.25	5.79	1.0	controle	low_pain	48.4	267.4317110000411			sub-048	250	48	48.4	49.5	COM5	COM15	COM3	2024-11-05_15h02.31.124	001-EEG_SVR_Officel	2022.2.5	59.93576085079241		5.799999999999983	0_sub-pilot048_SVR_EEG_block1-2.protocol.csv	step13	2765	275.375	STIMULATE	48.4	48.4	48.4	48.4	48.5	13	168.13600000000002
